"","Country","Year","Co2_Coal","Co2_Gas","Co2_Oil","Co2Oil_percapita","Co2Gas_percapita","Co2Coal_percapita","Coal_percapita","Oil_percapita","Gas_percapita","Nuclear_percapita","Hydro_percapita","Wind_percapita","Solar_percapita","Oil_Consumption","Gas_Consumption","Coal_Consumption","total_co2","tot_co2pc","total_conspc","total_renewpc"
"1248","United Kingdom",2003,152886163,207548236,195636471,3.2846,3.4846,2.5669,7440.25,16004.264,16757.486,4056.571,147.637,58.914,0.137,953.2292525,998.091811944444,443.148356944444,556070870,9.3361,40202,4263.259
"1249","United Kingdom",2004,147311129,210678083,199206268,3.3272,3.5188,2.4604,7113.254,16347.666,17034.054,3616.96,219.03,87.667,0.181,978.783166944444,1019.87907305556,425.891510833333,557195480,9.3064,40494.974,3923.838
"1250","United Kingdom",2005,147746958,204383750,201613003,3.3442,3.3901,2.4507,7220.389,16813.678,16485.312,3641.563,219.646,129.925,0.357,1012.80752555556,993.865718888889,435.3024825,553743711,9.185,40519.379,3991.491
"1251","United Kingdom",2006,160621809,193453029,198158709,3.258,3.1807,2.6409,7826.955,16521.271,15497.988,3315.902,201.871,186.164,0.483,1003.91624361111,942.602374166667,476.042866111111,552233547,9.0796,39846.214,3704.42
"1252","United Kingdom",2007,150612373,195643728,197196812,3.2088,3.1835,2.4508,7264.625,15834.666,15507.378,2724.256,219.455,227.949,0.605,971.606408055556,953.005143333333,446.447171388889,543452913,8.8431,38606.669,3172.265
"1253","United Kingdom",2008,139043665,201548992,189943182,3.0564,3.2432,2.2374,6665.122,15305.793,15742.635,2229.457,218.384,301.472,0.722,949.144644722222,978.325262777778,414.203668611111,530535839,8.537,37713.55,2750.035
"1254","United Kingdom",2009,113713208,186768131,181601227,2.8904,2.9727,1.8099,5514.78,14408.52,14519.374,2885.212,218.293,387.532,0.835,902.094276944444,912.237023888889,346.487804444444,482082566,7.673,34442.674,3491.872
"1255","United Kingdom",2010,117873813,200985564,180855014,2.8499,3.1671,1.8575,5667.99,14094.176,15520.473,2553.116,147.558,422.604,1.655,888.187823888889,984.928429722222,359.690373333333,499714391,7.8745,35282.639,3124.933
"1256","United Kingdom",2011,117027901,167433330,172926931,2.7011,2.6152,1.8279,5712.91,13740.672,12795.379,2792.172,230.389,646.145,9.863,873.279458611111,819.185075,365.751641666667,457388162,7.1442,32248.961,3678.569
"1257","United Kingdom",2012,147924703,157603571,171058068,2.651,2.4425,2.2925,7021.812,13261.853,11917.675,2810.485,211.932,792.273,54.041,848.081305555556,768.987389444444,453.082066944444,476586342,7.386,32201.34,3868.731
"1258","United Kingdom",2013,142361992,157031600,166442332,2.5613,2.4165,2.1907,6616.977,12957.912,11745.324,2781.773,185.23,1118.792,79.2,833.972806944444,763.257545,429.997269166667,465835924,7.1685,31320.213,4164.995
"1259","United Kingdom",2014,115343739,143882841,167151469,2.5549,2.1993,1.763,5289.31,12855.998,10708.094,2479.754,229.033,1243.194,157.7,833.063105,700.555074722222,346.042276388889,426378049,6.5172,28853.402,4109.681
"1260","United Kingdom",2015,91468542,147230038,171463855,2.6035,2.2355,1.3888,4074.597,13121.84,10939.191,2702.035,241.886,1547.002,289.347,856.346378055556,720.454575555555,268.352713333333,410162435,6.2278,28135.628,4780.27
"1261","United Kingdom",2016,47755789,164809212,174919515,2.6384,2.4859,0.7203,1944.154,13417.575,12168.347,2720.691,213.05,1409.35,394.79,884.251915833333,806.736405555556,128.893429166667,387484516,5.8446,27530.076,4737.881
"1262","United Kingdom",2017,39062347,160881223,175865304,2.6356,2.411,0.5854,1578.748,13407.328,11777.474,2635.233,222.104,1859.558,429.941,885.647746944444,785.491155,105.345005277778,375808874,5.632,26763.55,5146.836
"1263","United Kingdom",2018,32894083,162477395,174563654,2.5999,2.4199,0.4899,1313.267,13126.671,11804.399,2408.456,202.284,2106.403,475.938,873.769997777778,795.400043055556,88.1752872222222,369935132,5.5097,26244.337,5193.081
"1264","United Kingdom",2019,24508210,161027820,171502229,2.5396,2.3845,0.3629,1078.722,12774.314,11675.072,2060.176,218.488,2351.701,464.83,856.321874722222,773.0331725,60.4291311111111,357038259,5.287,25528.108,5095.195
"1265","United States",2001,2115059495,1204740719,2481984809,8.7207,4.233,7.4315,21437.63,37371.45,21104.765,7847.405,2038.622,65.989,5.569,10636.848425,6006.58015,6101.316075,5801785023,20.3852,79913.845,9957.585
"1266","United States",2002,2119321968,1244766103,2476570421,8.6208,4.3329,7.3772,21228.349,37043.716,21585.695,7837.19,2464.083,99.825,5.742,10642.4131583333,6201.11213888889,6098.45422222222,5840658492,20.3309,79857.76,10406.84
"1267","United States",2003,2158576959,1211114607,2537208761,8.7546,4.1789,7.4481,21443.062,37277.358,20778.375,7557.186,2537.812,106.228,5.74,10803.6824583333,6021.90061666667,6214.53734444444,5906900327,20.3816,79498.795,10206.966
"1268","United States",2004,2190331358,1217622248,2596285739,8.8806,4.1649,7.492,21395.177,38302.01,20681.302,7685.512,2431.077,132.284,6.464,11197.8669361111,6046.27741666667,6254.98221944445,6004239345,20.5375,80378.489,10255.337
"1269","United States",2005,2214837522,1199295503,2608476743,8.8425,4.0655,7.5081,21515.564,38013.354,20176.461,7505.759,2429.397,164.044,6.829,11214.0782361111,5951.92983888889,6346.95689166667,6022609768,20.4161,79705.379,10106.029
"1270","United States",2006,2183111816,1182916477,2570893125,8.6341,3.9727,7.3318,20989.08,37178.443,19699.765,7438.734,2563.305,241.099,7.401,11070.9090277778,5865.77766944444,6249.68254444444,5936921418,19.9386,77867.288,10250.539
"1271","United States",2007,2208712130,1257550285,2551510259,8.4878,4.1834,7.3475,21070.147,36596.891,20762.548,7500.825,2147.602,307.484,9.679,11001.7555222222,6241.38309166667,6333.84982777778,6017772674,20.0187,78429.586,9965.59
"1272","United States",2008,2174329138,1266645331,2363675615,7.7884,4.1737,7.1645,20538.21,33832.397,20722.262,7381.565,2183.693,486.418,14.205,10273.6951638889,6288.91177777778,6233.05461388889,5804650084,19.1266,75092.869,10065.881
"1273","United States",2009,1905943279,1245741859,2233033231,7.2902,4.067,6.2223,17898.262,31787.256,20163.646,7202.115,2325.62,639.21,17.78,9737.24462222222,6176.28113611111,5482.37639722222,5384718369,17.5795,69849.164,10184.725
"1274","United States",2010,2013303900,1308832053,2250504028,7.2829,4.2355,6.5153,18771.326,32011.511,20976.404,7167.383,2170.825,806.721,25.423,9891.22789166667,6481.93450833333,5800.54163333333,5572639981,18.0337,71759.241,10170.352
"1275","United States",2011,1903554697,1327527756,2201746520,7.0663,4.2606,6.1093,17565.33,31104.336,21124.683,6918.088,2628.987,1009.613,39.414,9696.93154166667,6582.10810555556,5473.07140555556,5432828973,17.4362,69794.349,10596.102
"1276","United States",2012,1684036507,1388254643,2152124354,6.8529,4.4206,5.3624,15406.786,30181.323,21911.685,6642.088,2247.569,1166.673,74.121,9475.43988888889,6881.22778055556,4838.40475555556,5224415504,16.6359,67499.794,10130.451
"1277","United States",2013,1740832988,1427506453,2184125087,6.903,4.5117,5.502,15873.134,30459.289,22345.802,6720.565,2156.859,1371.838,129.789,9638.89439722222,7070.22837777778,5022.27140277778,5352464528,16.9167,68678.225,10379.051
"1278","United States",2014,1734525541,1455804150,2201175844,6.9073,4.5683,5.443,15724.144,30459.279,22664.645,6701.202,2042.416,1465.347,233.319,9705.04362222222,7222.60455555556,5010.85600833333,5391505535,16.9186,68848.068,10442.284
"1279","United States",2015,1504945744,1495321179,2239489551,6.9792,4.6601,4.6901,13491.361,30870.215,23173.295,6615.637,1943.007,1518.79,310.832,9905.57473055556,7435.79494166667,4329.07777222222,5239756474,16.3294,67534.871,10388.266
"1280","United States",2016,1379743915,1502475490,2246524382,6.9548,4.6514,4.2714,12261.759,30887.665,23190.787,6602.753,2053.494,1785.069,431.466,9979.08116944445,7490.98939722222,3960.74114166667,5128743787,15.8776,66340.211,10872.782
"1281","United States",2017,1338666724,1480058758,2265325631,6.9684,4.5528,4.1179,11851.041,31004.821,22763.049,6516.112,2282.533,1975.419,600.286,10076.8474555556,7399.92251666667,3852.59264166667,5084051113,15.6391,65618.911,11374.35
"1282","United States",2018,1283532215,1641041153,2316810796,7.083,5.017,3.924,11279.446,31512.417,25067.338,6455.254,2199.826,2092.608,716.584,10317.5121222222,8217.15005277778,3689.45863055556,5241384164,16.024,67859.201,11464.272
"1283","United States",2019,1098853710,1694894099,2313371925,7.0301,5.1506,3.3393,9573.128,31223.204,25728.83,6411.385,2040.469,2280.847,815.4,10314.4428833333,8492.37666944444,3150.45985833333,5107119734,15.52,66525.162,11548.101
